geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037920046,06,037,920046,Census Tract 9200.46; Los Angeles County; California,1910,969,38,37,1.99,0,14,8,15,8,20.518284528683193,0.0,28.518284528683193,2.564785566085399,high_uncertainty,0.42,21.05,69534.0,19115.0,0.2749014870423102,False
06037920047,06,037,920047,Census Tract 9200.47; Los Angeles County; California,6579,1457,105,106,1.6,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,74846.0,21479.0,0.28697592389706866,False
06037920048,06,037,920048,Census Tract 9200.48; Los Angeles County; California,5433,496,304,123,5.6,0,19,0,19,0,26.870057685088806,0.0,26.870057685088806,,zero_estimate,0.0,0.0,109482.0,12882.0,0.11766317750863156,False
06037920049,06,037,920049,Census Tract 9200.49; Los Angeles County; California,6500,822,1054,499,16.22,432,470,0,19,432,470.38388577841397,0.0,902.383885778414,1.0888515874500324,high_uncertainty,6.65,40.99,198843.0,38430.0,0.19326805570223746,False
06037920050,06,037,920050,Census Tract 9200.50; Los Angeles County; California,1147,138,6,8,0.52,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,72713.0,23190.0,0.3189250890487258,False
06037920102,06,037,920102,Census Tract 9201.02; Los Angeles County; California,4758,560,542,301,11.39,105,142,0,14,105,142.68847185389575,0.0,247.68847185389575,1.3589378271799595,high_uncertainty,2.21,19.37,85294.0,42700.0,0.500621380167421,False
06037920104,06,037,920104,Census Tract 9201.04; Los Angeles County; California,2987,417,277,174,9.27,9,13,0,14,9,19.1049731745428,0.0,28.1049731745428,2.122774797171422,high_uncertainty,0.3,3.25,143269.0,37092.0,0.2588975982243193,False
06037920106,06,037,920106,Census Tract 9201.06; Los Angeles County; California,3716,852,137,78,3.69,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,137813.0,23672.0,0.17176899131431722,False
06037920109,06,037,920109,Census Tract 9201.09; Los Angeles County; California,4803,561,838,316,17.45,142,127,0,14,142,127.76932339180638,14.230676608193619,269.7693233918064,0.8997839675479322,usable_with_caution,2.96,16.95,114469.0,11693.0,0.10214992705448636,False
06037920110,06,037,920110,Census Tract 9201.10; Los Angeles County; California,2912,431,426,214,14.63,27,34,0,14,27,36.76955262170047,0.0,63.76955262170047,1.3618352822852027,high_uncertainty,0.93,6.34,131397.0,23041.0,0.17535407962130034,False
06037920111,06,037,920111,Census Tract 9201.11; Los Angeles County; California,3141,548,384,239,12.23,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,154925.0,8712.0,0.05623366144908827,False
06037920112,06,037,920112,Census Tract 9201.12; Los Angeles County; California,4277,510,772,478,18.05,20,31,0,14,20,34.0147027033899,0.0,54.0147027033899,1.700735135169495,high_uncertainty,0.47,2.59,124504.0,18415.0,0.14790689455760458,False
06037920114,06,037,920114,Census Tract 9201.14; Los Angeles County; California,5350,1030,1054,406,19.7,37,44,17,27,54,51.62363799656123,2.3763620034387714,105.62363799656123,0.9559932962326153,usable_with_caution,1.01,5.12,126422.0,39927.0,0.31582319532992675,False
06037920115,06,037,920115,Census Tract 9201.15; Los Angeles County; California,4158,573,568,318,13.66,19,29,0,14,19,32.202484376209235,0.0,51.202484376209235,1.6948675987478545,high_uncertainty,0.46,3.35,109844.0,28475.0,0.25923127344233643,False
06037920116,06,037,920116,Census Tract 9201.16; Los Angeles County; California,4606,407,280,127,6.08,21,33,0,14,21,35.84689665786984,0.0,56.84689665786984,1.706995078946183,high_uncertainty,0.46,7.5,130000.0,26058.0,0.20044615384615386,False
